"","headline","url"
"1","
                        11:46
                          Інфографіка  Електронні рецепти: як це працюватиме
                    ","https://www.ukrinform.ua/rubric-other_news/2658342-recept-na-liki-u-vasomu-telefoni-pokrokova-instrukcia-infografika.html?fbclid=IwAR1NGirCKE6ILF0HdLiGnd_7Li3DyAJRLCUYIwzZ0J4rDaz9F-dTYuS6Y3M"
"2","
                        11:46
                         Манафорту сьогодні оголосять вирок у другій справі
                    ","/rubric-world/2658420-manafortu-sogodni-ogolosat-virok-u-drugij-spravi.html"
"3","
                        11:42
                         Палата представників США ухвалила два закони й резолюцію проти РФ та Путіна
                    ","/rubric-world/2658409-palata-predstavnikiv-ssa-uhvalila-dva-zakoni-j-rezoluciu-proti-rf-ta-putina.html"
"4","
                        11:28
                         В Крим на запрошення РФ прилетить група французьких політиків - на річницю анексії
                    ","/rubric-crimea/2658395-v-krim-na-zaprosenna-rf-priletit-grupa-francuzkih-deputativ-na-ricnicu-aneksii.html"
"5","
                        11:01
                         Уряд затвердив передислокацію військових частин Повітряних сил ЗСУ
                    ","/rubric-ato/2658357-urad-zatverdiv-peredislokaciu-vijskovih-castin-povitranih-sil-zsu.html"
"6","
                        11:01
                         ОПОРА заявляє, що не проводить жодних соцопитувань щодо виборів
                    ","/rubric-elections/2658364-opora-zaavlae-so-ne-provodit-zodnih-socopituvan-sodo-viboriv.html"
"7","
                        10:44
                         Варшава найбільше боїться гібридних дій Росії — експерт
                    ","/rubric-world/2658335-varsava-najbilse-boitsa-gibridnih-dij-rosii-ekspert.html"
"8","
                        10:44
                         В окупованому Криму під виглядом реставрації знищується Ханський палац — Нищук
                    ","/rubric-crimea/2658341-v-okupovanomu-krimu-pid-vigladom-restavracii-znisuetsa-hanskij-palac-nisuk.html"
"9","
                        10:44
                         МЗС Німеччини дорікнув британським депутатам, що вони “грають з добробутом громадян”
                    ","/rubric-world/2658346-mzs-nimeccini-doriknuv-britanskim-deputatam-so-voni-graut-z-dobrobutom-gromadan.html"
"10","
                        10:43
                         Більше половини світового парку Boeing 737 MAX припинили польоти
                    ","/rubric-world/2658315-bilse-polovini-svitovogo-parku-boeing-737-max-pripinili-poloti.html"
"11","
                        10:22
                          Фото  Двох фігурантів сутичок у Черкасах відпустили під домашній арешт
                    ","/rubric-society/2658314-dvoh-figurantiv-suticok-u-cerkasah-vidpustili-pid-domasnij-arest.html"
"12","
                        09:33
                         Монетизація субсидій: у перший день виплатили понад 350 мільйонів
                    ","/rubric-society/2658272-monetizacia-subsidij-u-persij-den-viplatili-ponad-350-miljoniv.html"
"13","
                        08:57
                          Фото  Ізоляція Путіна сприятиме звільненню політв’язнів - Чийгоз
                    ","/rubric-crimea/2658247-izolacia-putina-spriatime-zvilnennu-politvazniv-cijgoz.html"
"14","
                        08:45
                         Помпео: Вторгнення РФ в Україну - це спроба контролювати запаси нафти і газу 
                    ","/rubric-world/2658252-pompeo-vtorgnenna-rf-v-ukrainu-ce-sproba-kontroluvati-zapasi-nafti-i-gazu.html"
"15","
                        08:34
                         Рада продовжить розгляд поправок до ""мовного"" законопроекту
                    ","/rubric-polytics/2658240-rada-prodovzit-rozglad-popravok-do-movnogo-zakonoproektu.html"
